epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
114,205.894,0.37939,0.33112,0.85803,0.93977,0.97368,0.98036,0.85762,0.58432,0.40802,1.00101,0.0005084,0.0005084,0.0005084
115,207.578,0.3823,0.2663,0.84569,0.90069,0.95468,0.97195,0.86663,0.5416,0.42123,0.9401,0.0004952,0.0004952,0.0004952
116,209.32,0.36198,0.26676,0.85266,0.92682,1,0.98833,0.88329,0.514,0.36666,0.94169,0.000482,0.000482,0.000482
117,211.054,0.38435,0.29509,0.86415,0.93387,1,0.99216,0.89918,0.52139,0.34569,0.98083,0.0004688,0.0004688,0.0004688
118,212.796,0.37678,0.26795,0.84672,0.96696,0.97368,0.99074,0.90217,0.48879,0.33678,0.93675,0.0004556,0.0004556,0.0004556
119,214.544,0.37678,0.27061,0.84837,0.94722,0.98684,0.98763,0.88712,0.50067,0.33007,0.94435,0.0004424,0.0004424,0.0004424
120,216.29,0.35744,0.25636,0.84658,0.94308,0.98684,0.98747,0.88973,0.518,0.3621,0.94388,0.0004292,0.0004292,0.0004292
121,218.026,0.37067,0.26965,0.84445,0.95893,0.98684,0.98504,0.88238,0.52749,0.35632,0.94915,0.000416,0.000416,0.000416
122,219.763,0.33926,0.26472,0.84872,0.97328,0.95854,0.99194,0.89554,0.53447,0.33468,0.94514,0.0004028,0.0004028,0.0004028
123,221.506,0.34337,0.25424,0.838,0.94737,0.94742,0.9881,0.8988,0.52627,0.34082,0.9565,0.0003896,0.0003896,0.0003896
124,223.251,0.35852,0.24728,0.84262,0.92541,0.97957,0.98518,0.87911,0.54751,0.35428,0.98151,0.0003764,0.0003764,0.0003764
125,224.978,0.35888,0.28984,0.85956,0.92143,0.98684,0.98088,0.87342,0.54822,0.38747,0.98724,0.0003632,0.0003632,0.0003632
126,226.739,0.37338,0.26253,0.85161,0.95451,0.98684,0.9657,0.84119,0.54694,0.38169,0.98404,0.00035,0.00035,0.00035
127,228.472,0.35534,0.25422,0.85188,0.95052,0.98684,0.96488,0.82971,0.56696,0.38655,0.99122,0.0003368,0.0003368,0.0003368
128,230.237,0.37018,0.25294,0.85457,0.93599,1,0.97063,0.86563,0.52422,0.36663,0.97113,0.0003236,0.0003236,0.0003236
129,231.962,0.35085,0.25033,0.84042,0.93472,1,0.97838,0.8804,0.53225,0.36294,0.97512,0.0003104,0.0003104,0.0003104
130,233.697,0.35817,0.25625,0.8441,0.92326,0.98684,0.95835,0.8615,0.51248,0.35412,0.9489,0.0002972,0.0002972,0.0002972
131,235.426,0.34995,0.25471,0.85522,0.95047,0.98684,0.97366,0.86755,0.4947,0.35077,0.94882,0.000284,0.000284,0.000284
132,237.176,0.35332,0.25218,0.84965,0.93467,1,0.97488,0.84094,0.55736,0.37988,1.02298,0.0002708,0.0002708,0.0002708
133,238.933,0.37345,0.25931,0.85985,0.93568,0.98684,0.97591,0.84272,0.57859,0.37981,1.13279,0.0002576,0.0002576,0.0002576
134,240.692,0.34643,0.2554,0.84631,0.9277,0.96053,0.97562,0.86282,0.56101,0.38245,1.10325,0.0002444,0.0002444,0.0002444
135,242.425,0.34097,0.24372,0.83969,0.9139,0.98684,0.97335,0.86627,0.52456,0.38159,1.03072,0.0002312,0.0002312,0.0002312
136,244.165,0.37072,0.30669,0.84334,0.91193,0.98684,0.97022,0.86438,0.51811,0.38807,1.00145,0.000218,0.000218,0.000218
